Begin	End	Name	Symbol	Gene Type
196546	197898	intramembrane zinc metalloprotease RseP	rseP	protein-coding
197928	200360	outer membrane protein assembly factor BamA	bamA	protein-coding
200482	200967	periplasmic chaperone Skp	skp	protein-coding
200971	201996	UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase	lpxD	protein-coding
202101	202556	3-hydroxy-acyl-[acyl-carrier-protein] dehydratase	fabZ	protein-coding
202560	203348	acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase	lpxA	protein-coding
203348	204496	lipid A disaccharide synthase	lpxB	protein-coding
204493	205089	RNase HII	rnhB	protein-coding
205126	208608	DNA polymerase III subunit alpha	dnaE	protein-coding
208621	209580	acetyl-CoA carboxyltransferase subunit alpha	accA	protein-coding
209679	211820	lysine decarboxylase 2	ldcC	protein-coding
211877	212266	VOC domain-containing protein YaeR	yaeR	protein-coding
212331	213629	tRNA(Ile)-lysidine synthetase	tilS	protein-coding
213678	213932	modulator of Rho-dependent transcription termination	rof	protein-coding
213925	214125	PF06786 family protein YaeP	yaeP	protein-coding
214291	214836	uncharacterized protein YaeQ	yaeQ	protein-coding
214833	215255	peptidyl-tRNA hydrolase, ribosome rescue factor	arfB	protein-coding
215269	215979	sensor lipoprotein NlpE	nlpE	protein-coding
216179	217003	peptidase C92 family protein YaeF	yaeF	protein-coding
217057	218775	proline--tRNA ligase	proS	protein-coding
218887	219594	tRNA m(6)t(6)A37 methyltransferase	trmO	protein-coding
219591	219995	sensor lipoprotein RcsF	rcsF	protein-coding
220113	220928	L-methionine/D-methionine ABC transporter membrane anchored binding protein	metQ	protein-coding
220968	221621	L-methionine/D-methionine ABC transporter membrane subunit	metI	protein-coding
221614	222645	L-methionine/D-methionine ABC transporter ATP binding subunit	metN	protein-coding
222833	223408	D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase	gmhB	protein-coding
223771	225312	16S ribosomal RNA	rrsH	rRNA
225381	225457	tRNA-Ile	ileV	tRNA
225500	225575	tRNA-Ala	alaV	tRNA
225759	228662	23S ribosomal RNA	rrlH	rRNA
228756	228875	5S ribosomal RNA	rrfH	rRNA
228928	229004	tRNA-Asp	aspU	tRNA
229167	229970	methylglyoxal reductase DkgB	dkgB	protein-coding
229967	230881	DNA-binding transcriptional regulator YafC	yafC	protein-coding
231122	231922	endonuclease/exonuclease/phosphatase domain-containing protein YafD	yafD	protein-coding
231926	232549	putative S-adenosylmethionine-dependent methyltransferase	yafE	protein-coding
232597	233955	membrane-bound lytic murein transglycosylase D	mltD	protein-coding
234027	234782	hydroxyacylglutathione hydrolase GloB	gloB	protein-coding
234288	234320	protein YkfO	ykfO	protein-coding
234816	235538	putative S-adenosyl-L-methionine-dependent methyltransferase	yafS	protein-coding
235535	236002	ribonuclease HI	rnhA	protein-coding
236067	236798	DNA polymerase III subunit epsilon	dnaQ	protein-coding
236931	237007	tRNA-Asp	aspV	tRNA
237335	238120	lipoprotein YafT	yafT	protein-coding
238257	238736	uncharacterized protein YkfM	ykfM	protein-coding
238746	239084	uncharacterized gene	yafU	pseudogene
239190	239378	uncharacterized gene	yafF	pseudogene
239419	240189	2-oxoglutaramate amidase	yafV	protein-coding
240343	240816	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme	ivy	protein-coding
240859	243303	acyl-CoA dehydrogenase	fadE	protein-coding
243543	244121	D-sedoheptulose 7-phosphate isomerase	gmhA	protein-coding
244327	245094	putative glutamine amidotransferase YafJ	yafJ	protein-coding
245065	245805	peptidoglycan meso-diaminopimelic acid protein amidase A	dpaA	protein-coding
245961	246239	ribosome-dependent mRNA interferase toxin YafQ	yafQ	protein-coding
246242	246502	antitoxin/DNA-binding transcriptional repressor DinJ	dinJ	protein-coding
246712	247461	NlpC/P60 family protein YafL	yafL	protein-coding
247637	248134	REP-associated tyrosine transposase	rayT	protein-coding
248358	250070	uncharacterized gene	lfhA	pseudogene
250072	250827	uncharacterized gene	lafU	pseudogene
250898	251953	DNA polymerase IV	dinB	protein-coding
252005	252298	antitoxin YafN	yafN	protein-coding
252301	252699	ribosome-dependent mRNA interferase toxin YafO	yafO	protein-coding
252709	253161	putative N-acetyltransferase YafP	yafP	protein-coding
253467	253733	uncharacterized gene	ykfJ	pseudogene
253702	254202	uncharacterized gene	prfH	pseudogene
254259	255716	peptidase D	pepD	protein-coding
255977	256435	xanthine-guanine phsophoribosyltransferase	gpt	protein-coding
256527	257771	fermentation-respiration switch protein	frsA	protein-coding
257829	259006	uncharacterized gene	crl	pseudogene
257923	258426	IS1 family transposase B	insB9	protein-coding
258345	258620	IS1 family repressor TnpA	insA9	protein-coding
259045	260100	outer membrane porin PhoE	phoE	protein-coding
260388	261491	glutamate 5-kinase	proB	protein-coding
261503	262756	glutamate-5-semialdehyde dehydrogenase	proA	protein-coding
262871	262946	tRNA-Thr	thrW	tRNA
263150	263212	uncharacterized gene	ykfN	pseudogene
263328	263669	toxin of the YkfI-YafW toxin-antitoxin system	ykfI	protein-coding
263690	264007	antitoxin of the YkfI-YafW toxin-antitoxin pair	yafW	protein-coding
264026	264247	DUF987 domain-containing protein YkfH	ykfH	protein-coding
264256	264732	RadC-like JAB domain-containing protein YkfG	ykfG	protein-coding
264748	265206	protein YafX	yafX	protein-coding
265304	265543	protein YkfF	ykfF	protein-coding
265620	266087	protein YkfB	ykfB	protein-coding
266110	266553	inner membrane lipoprotein YafY	yafY	protein-coding
266553	266774	uncharacterized gene	ykfL	pseudogene
266776	266967	uncharacterized gene	ykfK	pseudogene
267184	268005	DUF932 domain-containing protein YafZ	yafZ	protein-coding
268097	268960	putative GTP-binding protein YkfA	ykfA	protein-coding
269289	270182	putative transcriptional regulator PerR	perR	protein-coding
270278	272190	uncharacterized gene	insN	pseudogene
270603	271754	IS30 family transposase	insI1	protein-coding
272580	272654	small RNA EyeA	eyeA	ncRNA
272847	273992	PF00078 domain-containing protein YkfC	ykfC	protein-coding
274101	275081	IS5 family transposase and trans-activator	insH1	protein-coding
275325	276728	S-methyl-L-methionine transporter	mmuP	protein-coding
276715	277647	homocysteine S-methyltransferase	mmuM	protein-coding
277756	278802	ABC transporter ATP-binding protein AfuC	afuC	protein-coding
278814	279162	uncharacterized gene	afuB	pseudogene
279178	279681	IS1 family protein InsB	insB2	protein-coding
279600	279875	IS1 family protein InsA	insA2	protein-coding
279931	280104	uncharacterized gene	insI2	pseudogene
280114	280362	uncharacterized gene	insX	pseudogene
280385	280735	orphan antitoxin YagB	yagB	protein-coding
280829	281983	integrase core domain-containing protein YagA	yagA	protein-coding
282278	283186	putative 2-dehydro-3-deoxygluconate aldolase	yagE	protein-coding
283201	285168	D-xylonate dehydratase	yagF	protein-coding
285395	286777	putative D-xylonate transporter YagG	yagG	protein-coding
286789	288399	putative xylosidase/arabinosidase	yagH	protein-coding
288404	289162	DNA-binding transcriptional repressor XynR	xynR	protein-coding
289301	290305	ornithine carbamoyltransferase ArgF	argF	protein-coding
290275	290370	putative translational regulatory protein ArgL	argL	protein-coding
290510	290638	protein YkgS	ykgS	protein-coding
290649	291152	IS1 family protein InsB	insB3	protein-coding
291071	291346	IS1 family protein InsA	insA3	protein-coding
291500	292231	protein YagJ	yagJ	protein-coding
292322	292948	uncharacterized protein YagK	yagK	protein-coding
293220	293918	resolvase-like catalytic domain-containing protein YagL	yagL	protein-coding
293945	294799	protein YagM	yagM	protein-coding
294918	295142	protein YkgV	ykgV	protein-coding
295139	295579	protein YagN	yagN	protein-coding
295696	297096	putative phage integrase	intF	protein-coding
297381	297791	putative LysR family substrate binding domain-containing protein YagP	yagP	protein-coding
297770	298726	molybdenum cofactor insertion chaperone PaoD	paoD	protein-coding
298736	300934	aldehyde dehydrogenase: molybdenum cofactor-binding subunit	paoC	protein-coding
300931	301887	aldehyde dehydrogenase, FAD-binding subunit	paoB	protein-coding
301884	302573	aldehyde dehydrogenase, Fe-S subunit	paoA	protein-coding
302991	303605	DUF1440 domain-containing inner membrane protein YagU	yagU	protein-coding
303853	304182	putative metal-chelating domain-containing protein YkgJ	ykgJ	protein-coding
304495	305205	putative fimbrial chaperone EcpE	ecpE	protein-coding
305174	306817	fimbrial adhesin EcpD	ecpD	protein-coding
306807	309332	putative fimbrial usher protein EcpC	ecpC	protein-coding
309358	310026	putative fimbrial chaperone EcpB	ecpB	protein-coding
310084	310671	common pilus major subunit	ecpA	protein-coding
310746	311336	DNA-binding transcriptional dual regulator MatA	matA	protein-coding
312112	312339	uncharacterized protein YkgL	ykgL	protein-coding
312374	312514	50S ribosomal subunit protein L36B	ykgO	protein-coding
312514	312777	50S ribosomal subunit protein L31B	ykgM	protein-coding
313141	313242	putative membrane protein YkgR	ykgR	protein-coding
313716	313805	uncharacterized gene	ykgP	pseudogene
314357	315244	uncharacterized gene	eaeH	pseudogene
315291	315590	IS3 element protein InsE	insE1	protein-coding
315587	316453	IS3 element protein InsF	insF1	protein-coding
316450	317136	uncharacterized gene	ykgA	pseudogene
317439	317567	uncharacterized gene	ykgQ	pseudogene
317726	318319	DUF417 domain-containing inner membrane protein RclC	rclC	protein-coding
318331	318567	DUF1471 domain-containing protein RclB	rclB	protein-coding
318676	320001	cupric reductase RclA	rclA	protein-coding
320227	321081	DNA-binding transcriptional activator RclR	rclR	protein-coding
321608	322327	putative lactate utilization oxidoreductase YkgE	ykgE	protein-coding
322338	323765	putative amino acid dehydrogenase with NAD(P)-binding domain and ferridoxin-like domain	ykgF	protein-coding
323758	324453	DUF162 domain-containing lactate utilization protein YkgG	ykgG	protein-coding
324696	325364	uncharacterized protein YkgH	ykgH	protein-coding
325577	327247	choline dehydrogenase	betA	protein-coding
327261	328733	betaine aldehyde dehydrogenase	betB	protein-coding
328747	329334	DNA-binding transcriptional repressor BetI	betI	protein-coding
329463	331496	choline:H(+) symporter	betT	protein-coding
331802	331876	protein YahV	yahV	protein-coding
332371	333459	DNA-binding transcriptional regulator/c-di-GMP phosphodiesterase PdeL	pdeL	protein-coding
333501	334433	putative LysR-type DNA-binding transcriptional regulator YahB	yahB	protein-coding
334525	335022	uncharacterized protein YahC	yahC	protein-coding
335280	335885	ankyrin repeat-containing protein YahD	yahD	protein-coding
335925	336788	DUF2877 domain-containing protein YahE	yahE	protein-coding
336778	338325	putative acyl-CoA synthetase YahF	yahF	protein-coding
338325	339743	DUF1116 domain-containing protein YahG	yahG	protein-coding
339769	340089	putative uncharacterized protein YahH	yahH	protein-coding
340165	341115	carbamate kinase-like protein YahI	yahI	protein-coding
341125	342507	amidohydrolase family protein YahJ	yahJ	protein-coding
342884	343933	aldehyde reductase, NADPH-dependent	yahK	protein-coding
344176	344991	uncharacterized protein YahL	yahL	protein-coding
345404	345649	uncharacterized protein YahM	yahM	protein-coding
345666	346337	putative amino acid exporter YahN	yahN	protein-coding
346484	346759	DUF1471 domain-containing protein YahO	yahO	protein-coding
346857	348443	DNA-binding transcriptional dual regulator PrpR	prpR	protein-coding
348682	349572	2-methylisocitrate lyase	prpB	protein-coding
350012	351181	2-methylcitrate synthase	prpC	protein-coding
351215	352666	2-methylcitrate dehydratase	prpD	protein-coding
352706	354592	propionyl-CoA synthetase	prpE	protein-coding
354922	356181	cytosine transporter	codB	protein-coding
356171	357454	cytosine/isoguanine deaminase	codA	protein-coding
357791	358690	DNA-binding transcriptional dual regulator CynR	cynR	protein-coding
358799	359458	carbonic anhydrase 1	cynT	protein-coding
359489	359959	cyanase	cynS	protein-coding
359992	361146	cyanate transporter	cynX	protein-coding
361249	361860	galactoside O-acetyltransferase	lacA	protein-coding
361926	363179	lactose permease	lacY	protein-coding
363231	366305	beta-galactosidase	lacZ	protein-coding
366428	367510	DNA-binding transcriptional repressor LacI	lacI	protein-coding
367587	368420	DNA-binding transcriptional activator MhpR	mhpR	protein-coding
368611	370275	3-(3-hydroxyphenyl)propanoate hydroxylase	mhpA	protein-coding
370277	371221	3-carboxyethylcatechol 2,3-dioxygenase	mhpB	protein-coding
371239	372105	2-hydroxy-6-ketonona-2,4-dienedioate hydrolase	mhpC	protein-coding
372115	372924	2-hydroxypentadienoate hydratase	mhpD	protein-coding
372921	373871	acetaldehyde dehydrogenase (acetylating) MhpF	mhpF	protein-coding
373868	374881	4-hydroxy-2-oxovalerate aldolase	mhpE	protein-coding
375459	376670	3-hydroxyphenylpropionate/3-hydroxycinnamate:H(+) symporter	mhpT	protein-coding
376772	377311	DUF2058 domain-containing protein YaiL	yaiL	protein-coding
377535	378368	S-formylglutathione hydrolase FrmB	frmB	protein-coding
378462	379571	S-(hydroxymethyl)glutathione dehydrogenase	frmA	protein-coding
379606	379881	DNA-binding transcriptional repressor FrmR	frmR	protein-coding
380069	380842	outer membrane protein YaiO	yaiO	protein-coding
380844	382872	uncharacterized gene	yaiX	pseudogene
381351	381716	IS2 element protein InsA	insC1	protein-coding
381674	382579	IS2 element protein	insD1	protein-coding
382739	383935	putative glucosyltransferase	yaiP	protein-coding
383960	384079	protein YkiC	ykiC	protein-coding
384059	384616	putative deacetylase YaiS	yaiS	protein-coding
385232	386194	taurine ABC transporter periplasmic binding protein	tauA	protein-coding
386207	386974	taurine ABC transporter ATP binding subunit	tauB	protein-coding
386971	387798	taurine ABC transporter membrane subunit	tauC	protein-coding
387795	388646	taurine dioxygenase	tauD	protein-coding
388753	389727	porphobilinogen synthase	hemB	protein-coding
390251	394418	uncharacterized gene	yaiT	pseudogene
391592	391648	protein YtiB	ytiB	protein-coding
391739	392605	IS3 element protein InsF	insF2	protein-coding
392602	392901	IS3 element protein InsE	insE2	protein-coding
394506	395129	putative DNA-binding transcriptional regulator IprA	iprA	protein-coding
395130	396287	peptidoglycan DD-carboxypeptidase/peptidoglycan DD-endopeptidase	ampH	protein-coding
396639	397859	peptide antibiotic/peptide nucleic acid transporter	sbmA	protein-coding
397872	398966	surface-exposed outer membrane lipoprotein	yaiW	protein-coding
399025	399333	DUF2755 domain-containing inner membrane protein YaiY	yaiY	protein-coding
399593	399805	DUF2754 domain-containing protein YaiZ	yaiZ	protein-coding
399829	400923	D-alanine--D-alanine ligase A	ddlA	protein-coding
401386	401646	anti-adaptor protein IraP	iraP	protein-coding
401747	403162	alkaline phosphatase	phoA	protein-coding
403281	403601	phosphate starvation-inducible protein PsiF	psiF	protein-coding
403703	404818	diguanylate cyclase DgcC	dgcC	protein-coding
404835	405644	pyrroline-5-carboxylate reductase	proC	protein-coding
405764	406222	DUF188 domain-containing protein YaiI	yaiI	protein-coding
406405	406929	shikimate kinase 2	aroL	protein-coding
406979	407170	protein YaiA	yaiA	protein-coding
407428	408105	protein AroM	aroM	protein-coding
408177	408461	nucleoside phosphorylase PpnP	ppnP	protein-coding
408609	408950	uncharacterized gene	ykiA	pseudogene
408947	409030	protein YkiD	ykiD	protein-coding
409108	410019	nucleoid-associated protein RdgC	rdgC	protein-coding
410144	411052	fructokinase	mak	protein-coding
411297	412481	putative transport protein AraJ	araJ	protein-coding
412607	415753	ATP-dependent structure-specific DNA nuclease - SbcC subunit	sbcC	protein-coding
415750	416952	ATP-dependent structure-specific DNA nuclease - SbcD subunit	sbcD	protein-coding
417142	417831	DNA-binding transcriptional dual regulator PhoB	phoB	protein-coding
417889	419184	sensor histidine kinase PhoR	phoR	protein-coding
419591	420910	branched chain amino acid transporter BrnQ	brnQ	protein-coding
420986	422359	putative transporter ProY	proY	protein-coding
422518	424332	maltodextrin glucosidase	malZ	protein-coding
424337	424918	acyl carrier protein phosphodiesterase	acpH	protein-coding
425011	426081	tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase	queA	protein-coding
426137	427264	tRNA-guanine transglycosylase	tgt	protein-coding
427287	427619	Sec translocon accessory complex subunit YajC	yajC	protein-coding
